sap.tm.trp.applog;TRP;CONFIG_TILE;Dashboard Tile Setting
sap.tm.trp.applog;TRP;CONFIG_USER;User Profile Setting
sap.tm.trp.applog;TRP;CONFIG_HIERARCHY;Hierarchy Setting
sap.tm.trp.applog;TRP;CONFIG_ROLE;Role Setting
sap.tm.trp.applog;TRP;CONFIG_ZONE;Zone Setting
sap.tm.trp.applog;TRP;CONFIG_PLAN;Plan Setting
sap.tm.trp.applog;TRP;CONFIG_STOCK;Stock Setting
sap.tm.trp.applog;TRP;CONFIG_ATTR_GROUP;Attribute Group Setting
sap.tm.trp.applog;TRP;ALERT_RULE_GROUP;Alert Rule Group Setting
sap.tm.trp.applog;TRP;CONFIG_LOC_FILTER;Location Filter Setting
sap.tm.trp.applog;TRP;CONFIG_LOC_GROUP;Location Group Setting
sap.tm.trp.applog;TRP;CONFIG_RES_FILTER;Resource Filter Setting
sap.tm.trp.applog;TRP;CONFIG_RES_GROUP;Resource Group Setting
sap.tm.trp.applog;TRP;CONFIG_TIME_FILTER;Time Filter Setting
sap.tm.trp.applog;TRP;TM_TRP_PICKUP_RETURN;TM TRP Pickup & Return
sap.tm.trp.applog;TRP;CONFIG_REG_OBJECT;Object Registration
sap.tm.trp.applog;TRP;PIPELINE;Pipeline Model Execution
sap.tm.trp.applog;TRP;DEFAULT;Default Log
sap.tm.trp.applog;TRP;COST_MODEL;Cost Model Setting
sap.tm.trp.applog;TRP;ATTRIBUTE_GROUPS;Attribute Groups Setting
sap.tm.trp.applog;TRP;EXPORT;Export Data
sap.tm.trp.applog;TRP;EXTEND_COLUMN;TRP Extend Column Setting
sap.tm.trp.applog;TRP;EVENT_PROCESSING;TRP Event Processing
sap.tm.trp.applog;TRP;SIMULATION_PLAN;TRP Resource Balancing
sap.tm.trp.applog;TRP;DATA_ARCHIVE;Data Archive Settings
sap.tm.trp.applog;TRP;LC_MATERIALIZATION;TRP Lease contract materialization
sap.tm.trp.applog;TRP;CONSISTENCY_CHECK;TRP Consistency Check
sap.tm.trp.applog;TRP;USER_SYNC;TRP TM User Synchronization
sap.tm.trp.applog;TRP;AVAILABILITY_CHECK;TRP Availability Check
sap.tm.trp.applog;TRP;STREETTURN;TRP Streetturn
sap.tm.trp.applog;TRP;LOCATION_RULE;Location Rule Schedule
sap.tm.trp.applog;TRP;MOV_STOCK_LOAD_DISCH;Load Discharge Information of Moving Stock
sap.tm.trp.applog;TRP;MOV_STOCK_ACTIVE_RES;Active Resource Information of Moving Stock
sap.tm.trp.applog;TRP;LEASE_INFORMATION;Lease information
sap.tm.trp.applog;TRP;STOCK;Stock
sap.tm.trp.applog;TRP;NAVIGATION;Forward Navigation
sap.tm.trp.applog;TRP;TM_INTEGRATION;TRP TM Integration