sequence name;table name;column name;schema name
sap.tm.trp.routing.db.dataset::s_dataset;sap.tm.trp.routing.db.dataset::t_dataset;ID;SAP_TM_ROUTING
sap.tm.trp.routing.db.dataset::s_path;sap.tm.trp.routing.db.dataset::t_connection;ID;SAP_TM_ROUTING
sap.tm.trp.routing.db.dataset::s_path;sap.tm.trp.routing.db.dataset::t_path;ID;SAP_TM_ROUTING
sap.tm.trp.routing.db.dataset::s_trip;sap.tm.trp.routing.db.dataset::t_trip;ID;SAP_TM_ROUTING
sap.tm.trp.routing.db.path::s_composite_path;sap.tm.trp.routing.db.path::t_path;ID;SAP_TM_ROUTING
sap.tm.trp.routing.db.path::s_composite_path;sap.tm.trp.routing.db.path::t_path_sequence;PATH_ID;SAP_TM_ROUTING
sap.tm.trp.routing.db.path::s_composite_path;sap.tm.trp.routing.db.path::t_path_target;PATH_ID;SAP_TM_ROUTING
sap.tm.trp.routing.db.path::s_network;sap.tm.trp.routing.db.path::t_network_model;ID;SAP_TM_ROUTING
sap.tm.trp.routing.db.path::s_route;sap.tm.trp.routing.db.path::t_route;ID;SAP_TM_ROUTING
sap.tm.trp.db.alert.alert_rule_group::s_alert_rule_group;sap.tm.trp.db.alert.alert_rule_group::t_alert_rule_group;ALERT_RULE_GROUP_ID;SAP_TM_TRP
sap.tm.trp.db.alert.alert_rule_group::s_alert_ruletype_map_node;sap.tm.trp.db.alert.alert_rule_group::t_alert_ruleType_map_node_metaData;ALERT_RULE_TYPE_ID;SAP_TM_TRP
sap.tm.trp.db.archive::s_archive_execution_log;sap.tm.trp.db.archive::t_archive_execution_log;ID;SAP_TM_TRP
sap.tm.trp.db.archive::s_archive_rule;sap.tm.trp.db.archive::t_archive_rule;ID;SAP_TM_TRP
sap.tm.trp.db.common::s_extended_fields;sap.tm.trp.db.common::t_extended_fields;ID;SAP_TM_TRP
sap.tm.trp.db.costmodel::s_cost_dataset;sap.tm.trp.db.costmodel::t_cost_dataset;ID;SAP_TM_TRP
sap.tm.trp.db.costmodel::s_cost_dataset_history;sap.tm.trp.db.costmodel::t_cost_dataset_history;ID;SAP_TM_TRP
sap.tm.trp.db.costmodel::s_cost_dataset_history;sap.tm.trp.db.costmodel::t_cost_dataset_history_temporary;ID;SAP_TM_TRP
sap.tm.trp.db.costmodel::s_cost_model_history;sap.tm.trp.db.costmodel::t_cost_model_history;ID;SAP_TM_TRP
sap.tm.trp.db.costmodel::s_cost_model_new;sap.tm.trp.db.costmodel::t_cost_model_new;ID;SAP_TM_TRP
sap.tm.trp.db.dashboard::s_tile;sap.tm.trp.db.dashboard::t_tile;ID;SAP_TM_TRP
sap.tm.trp.db.dashboard::s_tile_item;sap.tm.trp.db.dashboard::t_tile_item;ID;SAP_TM_TRP
sap.tm.trp.db.filter::s_attribute_group;sap.tm.trp.db.filter::t_attribute_group;ID;SAP_TM_TRP
sap.tm.trp.db.filter::s_attribute_group_item_node;sap.tm.trp.db.filter::t_attribute_group_item_node;ID;SAP_TM_TRP
sap.tm.trp.db.filter::s_equipment_filter;sap.tm.trp.db.filter::t_equipment_filter;ID;SAP_TM_TRP
sap.tm.trp.db.filter::s_filter_group;sap.tm.trp.db.filter::t_filter_group;ID;SAP_TM_TRP
sap.tm.trp.db.filter::s_location_filter;sap.tm.trp.db.filter::t_location_filter;ID;SAP_TM_TRP
sap.tm.trp.db.filter::s_time_filter;sap.tm.trp.db.filter::tt_time_filter;ID;SAP_TM_TRP
sap.tm.trp.db.filter::s_time_filter;sap.tm.trp.db.filter::t_time_filter;ID;SAP_TM_TRP
sap.tm.trp.db.filter::s_time_filter_interval;sap.tm.trp.db.filter::tt_time_filter_interval;ID;SAP_TM_TRP
sap.tm.trp.db.filter::s_time_filter_interval;sap.tm.trp.db.filter::t_time_filter_interval;ID;SAP_TM_TRP
sap.tm.trp.db.filter::s_time_filter_item;sap.tm.trp.db.filter::tt_time_filter_item;ID;SAP_TM_TRP
sap.tm.trp.db.filter::s_time_filter_item;sap.tm.trp.db.filter::t_time_filter_item;ID;SAP_TM_TRP
sap.tm.trp.db.hrf.ruleManage.ruleGroup::s_ruleType_map_node_metaData;sap.tm.trp.db.hrf.ruleManage.ruleGroup::t_ruleType_map_node_metaData;RULE_TYPE_ID;SAP_TM_TRP
sap.tm.trp.db.job::s_archive_schedule_detail;sap.tm.trp.db.job::t_archive_schedule_detail;ID;SAP_TM_TRP
sap.tm.trp.db.job::s_job_schedule;sap.tm.trp.db.job::t_job_schedule;ID;SAP_TM_TRP
sap.tm.trp.db.job::s_model_schedule_detail;sap.tm.trp.db.job::t_model_schedule_detail;ID;SAP_TM_TRP
sap.tm.trp.db.leasecontract::s_lease_contract;sap.tm.trp.db.leasecontract::t_lease_contract;ID;SAP_TM_TRP
sap.tm.trp.db.leasecontract::s_lease_contract_condition;sap.tm.trp.db.leasecontract::t_lease_contract_condition;ID;SAP_TM_TRP
sap.tm.trp.db.leasecontract::s_lease_contract_hire_condition;sap.tm.trp.db.leasecontract::t_lease_contract_hire_condition;ID;SAP_TM_TRP
sap.tm.trp.db.leasecontract::s_lease_contract_hire_term;sap.tm.trp.db.leasecontract::t_lease_contract_hire_term;ID;SAP_TM_TRP
sap.tm.trp.db.leasecontract::s_lease_contract_per_diem;sap.tm.trp.db.leasecontract::t_lease_contract_per_diem;ID;SAP_TM_TRP
sap.tm.trp.db.leasecontract::s_lease_contract_type;sap.tm.trp.db.leasecontract::t_lease_contract_type;ID;SAP_TM_TRP
sap.tm.trp.db.leasecontract::s_lease_object_change_track;sap.tm.trp.db.leasecontract::t_lease_object_change_track;ID;SAP_TM_TRP
sap.tm.trp.db.leasecontract::s_lessor;sap.tm.trp.db.leasecontract::t_lessor;ID;SAP_TM_TRP
sap.tm.trp.db.massupload::s_massupload_execution_history;sap.tm.trp.db.massupload::t_massupload_execution_history;ID;SAP_TM_TRP
sap.tm.trp.db.pickupreturn::s_location_rule;sap.tm.trp.db.pickupreturn::t_location_assignment_rule;ID;SAP_TM_TRP
sap.tm.trp.db.pickupreturn::s_location_rule_running_log;sap.tm.trp.db.pickupreturn::t_location_rule_running_log;ID;SAP_TM_TRP
sap.tm.trp.db.pickupreturn::s_pickup_date_col;sap.tm.trp.db.pickupreturn::t_pickup_register_selection_date_criteria;ID;SAP_TM_TRP
sap.tm.trp.db.pickupreturn::s_pickup_ext_col;sap.tm.trp.db.pickupreturn::t_extended_fields_for_pickup_config;ID;SAP_TM_TRP
sap.tm.trp.db.pickupreturn::s_return_date_col;sap.tm.trp.db.pickupreturn::t_return_register_selection_date_criteria;ID;SAP_TM_TRP
sap.tm.trp.db.pickupreturn::s_return_ext_col;sap.tm.trp.db.pickupreturn::t_extended_fields_for_return_config;ID;SAP_TM_TRP
sap.tm.trp.db.pipeline::s_pipeline_entry_point;sap.tm.trp.db.pipeline::t_pipeline_entry_point;ID;SAP_TM_TRP
sap.tm.trp.db.pipeline::s_pipeline_model;sap.tm.trp.db.alert.alert_rule_group::t_alert_rule;ALERT_RULE_ID;SAP_TM_TRP
sap.tm.trp.db.pipeline::s_pipeline_model;sap.tm.trp.db.hrf.ruleManage.ruleGroup::t_rule;RULE_ID;SAP_TM_TRP
sap.tm.trp.db.pipeline::s_pipeline_model;sap.tm.trp.db.pipeline::t_pipeline_model;ID;SAP_TM_TRP
sap.tm.trp.db.pipeline::s_pipeline_node;sap.tm.trp.db.pipeline::t_pipeline_node;ID;SAP_TM_TRP
sap.tm.trp.db.pipeline::s_plan_execution;sap.tm.trp.db.pipeline::t_plan_execution;ID;SAP_TM_TRP
sap.tm.trp.db.pipeline::s_plan_execution_log;sap.tm.trp.db.pipeline::t_execution_log;ID;SAP_TM_TRP
sap.tm.trp.db.pipeline::s_plan_model;sap.tm.trp.db.pipeline::t_plan_model;ID;SAP_TM_TRP
sap.tm.trp.db.planningcockpit::s_activity;sap.tm.trp.db.planningcockpit::t_activity;ID;SAP_TM_TRP
sap.tm.trp.db.planningcockpit::s_balancing_list;sap.tm.trp.db.planningcockpit::t_balancing_list;ID;SAP_TM_TRP
sap.tm.trp.db.planningcockpit::s_network_setting_group;sap.tm.trp.db.planningcockpit::t_network_setting_group;ID;SAP_TM_TRP
sap.tm.trp.db.planningcockpit::s_network_setting_group_log;sap.tm.trp.db.planningcockpit::t_network_setting_change_history;ID;SAP_TM_TRP
sap.tm.trp.db.planningcockpit::s_scenario;sap.tm.trp.db.planningcockpit::t_scenario;ID;SAP_TM_TRP
sap.tm.trp.db.planningcockpit::s_simulation;sap.tm.trp.db.planningcockpit::t_simulation_plan;ID;SAP_TM_TRP
sap.tm.trp.db.planningcockpit::s_trq_write_response;sap.tm.trp.db.planningcockpit::t_trq_write_log;ID;SAP_TM_TRP
sap.tm.trp.db.systemmanagement.customization::s_map_provider;sap.tm.trp.db.systemmanagement::t_map_provider;ID;SAP_TM_TRP
sap.tm.trp.db.systemmanagement.customization::s_resource_category;sap.tm.trp.db.systemmanagement.customization::t_resource_category_settings;ID;SAP_TM_TRP
sap.tm.trp.db.systemmanagement.user::s_role;sap.tm.trp.db.systemmanagement.user::t_role;ID;SAP_TM_TRP
sap.tm.trp.db.systemmanagement::s_equip_group;sap.tm.trp.db.systemmanagement::t_equipment_group;ID;SAP_TM_TRP
sap.tm.trp.db.systemmanagement::s_location_group;sap.tm.trp.db.systemmanagement::t_location_group;ID;SAP_TM_TRP
sap.tm.trp.db.systemmanagement::s_location_group;sap.tm.trp.db.systemmanagement::t_region_group;ID;SAP_TM_TRP
sap.tm.trp.db.systemmanagement::s_location_group;sap.tm.trp.db.systemmanagement::t_zone_group;ID;SAP_TM_TRP
sap.tm.trp.routing.db.dataset::s_dataset;sap.tm.trp.routing.db.dataset::t_dataset_location;DATASET_ID;SAP_TM_ROUTING
sap.tm.trp.routing.db.dataset::s_path;sap.tm.trp.routing.db.dataset::t_connection_carrier;CONNECTION_ID;SAP_TM_ROUTING
sap.tm.trp.routing.db.dataset::s_path;sap.tm.trp.routing.db.dataset::t_path_connection;PATH_ID;SAP_TM_ROUTING
sap.tm.trp.routing.db.dataset::s_path;sap.tm.trp.routing.db.dataset::t_path_departure_rule;PATH_ID;SAP_TM_ROUTING
sap.tm.trp.routing.db.path::s_route;sap.tm.trp.routing.db.path::t_route_sequence;ROUTE_ID;SAP_TM_ROUTING
sap.tm.trp.routing.db.path::s_route;sap.tm.trp.routing.db.path::t_route_sequence_capacity;ROUTE_ID;SAP_TM_ROUTING
sap.tm.trp.db.alert.alert_rule_group::s_alert_rule_group;sap.tm.trp.db.alert.alert_rule_group::t_alert_rule_group_t;ID;SAP_TM_TRP
sap.tm.trp.db.archive::s_archive_rule;sap.tm.trp.db.archive::t_archive_rule_with_schedule_option;ID;SAP_TM_TRP
sap.tm.trp.db.common::s_extended_fields;sap.tm.trp.db.common::t_extended_fields_t;ID;SAP_TM_TRP
sap.tm.trp.db.filter::s_attribute_group;sap.tm.trp.db.filter::t_attribute_group_item;GROUP_ID;SAP_TM_TRP
sap.tm.trp.db.filter::s_equipment_filter;sap.tm.trp.db.filter::t_equipment_filter_t;ID;SAP_TM_TRP
sap.tm.trp.db.filter::s_location_filter;sap.tm.trp.db.filter::t_location_filter_t;ID;SAP_TM_TRP
sap.tm.trp.db.pickupreturn::s_location_rule;sap.tm.trp.db.pickupreturn::t_location_rule_t;ID;SAP_TM_TRP
sap.tm.trp.db.pipeline::s_pipeline_model;sap.tm.trp.db.pipeline::t_pipeline_model_t;ID;SAP_TM_TRP
sap.tm.trp.db.pipeline::s_pipeline_model;sap.tm.trp.db.hrf.ruleManage.ruleGroup::t_rule_t;ID;SAP_TM_TRP
sap.tm.trp.db.pipeline::s_plan_execution;sap.tm.trp.db.pipeline::t_execution_context;EXECUTION_ID;SAP_TM_TRP
sap.tm.trp.db.pipeline::s_plan_model;sap.tm.trp.db.alert.alert_rule_group::t_alert_rule_group_assign_plan_model;PLAN_MODEL_ID;SAP_TM_TRP
sap.tm.trp.db.pipeline::s_plan_model;sap.tm.trp.db.pipeline::t_virtual_plan_persisted_plan;VIRTUAL_PLAN_MODEL_ID;SAP_TM_TRP
sap.tm.trp.db.planningcockpit::s_activity;sap.tm.trp.db.planningcockpit::t_activity_t;ID;SAP_TM_TRP
sap.tm.trp.db.planningcockpit::s_scenario;sap.tm.trp.db.planningcockpit::t_scenario_t;ID;SAP_TM_TRP
sap.tm.trp.db.planningcockpit::s_simulation;sap.tm.trp.db.planningcockpit::t_simulation_plan_t;ID;SAP_TM_TRP
sap.tm.trp.db.systemmanagement.customization::s_map_provider;sap.tm.trp.db.systemmanagement.customization::t_map_provider_t;ID;SAP_TM_TRP
sap.tm.trp.db.systemmanagement.customization::s_resource_category;sap.tm.trp.db.systemmanagement.customization::t_resource_category_settings_t;ID;SAP_TM_TRP
sap.tm.trp.db.systemmanagement::s_equip_group;sap.tm.trp.db.systemmanagement::t_equipment_group_t;ID;SAP_TM_TRP
sap.tm.trp.db.systemmanagement::s_equip_group;sap.tm.trp.db.systemmanagement::t_equipment_group_item;EQUIPMENT_GROUP_ID;SAP_TM_TRP
sap.tm.trp.db.systemmanagement::s_location_group;sap.tm.trp.db.systemmanagement::t_location_group_t;ID;SAP_TM_TRP
sap.tm.trp.db.systemmanagement::s_location_group;sap.tm.trp.db.systemmanagement::t_region_group_t;ID;SAP_TM_TRP
sap.tm.trp.db.systemmanagement::s_location_group;sap.tm.trp.db.systemmanagement::t_zone_group_t;ID;SAP_TM_TRP
sap.tm.trp.db.pickupreturn::s_exclude_tu_col;sap.tm.trp.db.pickupreturn::t_register_exclude_processed_tu;ID;SAP_TM_TRP
sap.tm.trp.db.pickupreturn::s_exclude_tu_col;sap.tm.trp.db.pickupreturn::t_register_exclude_processed_tu_t;ID;SAP_TM_TRP
sap.tm.trp.db.hrf.ruleManage.ruleGroup::s_loc_eac_rule_group;sap.tm.trp.db.hrf.ruleManage.ruleGroup::t_loc_eac_rule_group;ID;SAP_TM_TRP
sap.tm.trp.db.hrf.ruleManage.ruleGroup::s_loc_eac_rule_group;sap.tm.trp.db.hrf.ruleManage.ruleGroup::t_loc_eac_rule_group_t;ID;SAP_TM_TRP
