UNIT_CODE,DIMENTION_CODE,ISO_CODE
GLL,VOLUME,
L,VOLUME,LTR
CCM,VOLUME,CMQ
OZ,MASS,
IN3,VOLUME,
TON,MASS,
FT,LENGTH,
IN,LENGTH,INH
4G,VOLUME,4G
K,TEMP,KEL
HL,VOLUME,HLT
FA,TEMP,FAH
PT,VOLUME,
CM,LENGTH,CMT
KT,MASS,
GC,TEMP,CEL
LB,MASS,LBR
G,MASS,GRM
MG,MASS,MGM
YD3,VOLUME,
YD,LENGTH,
MI,LENGTH,SMI
MIM,LENGTH,4H
M,LENGTH,MTR
QT,VOLUME,
DM,LENGTH,DMT
KM,LENGTH,KMT
MMQ,VOLUME,MMQ
MM,LENGTH,MMT
TO,MASS,TNE
NAM,LENGTH,C45
FT3,VOLUME,FTQ
M3,VOLUME,MTQ
ML,VOLUME,MLT
KG,MASS,KGM
OZA,VOLUME,
CDM,VOLUME,DMQ
CTL,VOLUME,