CODE;OFFSET;DESC
AFGHAN;270;Afghanistan
ALA;-540;Alaska (Anchorage)
ALAW;-600;Alaska (Aleutian)
AST;-240;Atlantic Time (Halifax)
AUSACT;600;Australia Capital Territories
AUSLHI;630;Australia Lord Howe Island
AUSNSW;600;Australia New South Wales
AUSNT;570;Australia Northern Territories
AUSQLD;600;Australia Queensland
AUSSA;570;Australia South Australia
AUSTAS;600;Australia Tasmania
AUSVIC;600;Australia Victoria
AUSWA;480;Australia Western Australia
AZOREN;-60;Europe Azores
BRAZIL;-180;Brazil
BRZLAN;-300;Brazil Andes
BRZLEA;-180;Brazil East
BRZLWE;-240;Brazil West
CAT;120;Central Africa
CET;60;Central Europe
CHILE;-240;Chile
CHILEE;-360;Chile Easter Island
CST;-360;Central Time (Dallas)
CSTNO;-360;Central Time No DST
CYPRUS;120;Cyprus
EET;120;Eastern Europe
EGYPT;120;Egypt
EST;-300;Eastern Time (New York)
ESTNO;-300;Eastern Time (Indianapolis)
EST_;-300;Eastern Time (Montréal)
FLKLND;-240;Falkland Islands
GMTUK;0;Greenwich UK with DST
GST;-180;Greenland
GSTE;-60;Eastern Greenland
GSTW;-240;Western Greenland
HAW;-600;Hawaii
INDIA;330;India
IRAN;210;Iran
IRAQ;180;Iraq
ISRAEL;120;Israel
JAPAN;540;Japan
JORDAN;120;Jordan
LBANON;120;Lebanon
MST;-420;Mountain Time (Denver)
MSTNO;-420;Mountain Time (Phoenix)
NEPAL;345;Nepal
NFDL;-210;Newfoundland
NORFLK;690;Norfolk Islands
NST;-210;Newfoundland
NZCHA;765;New Zealand Chatham Islands
NZST;720;New Zealand
PARAGY;-240;Paraguay
PIERRE;-180;St Pierre and Miquelon
PST;-480;Pacific Time (Los Angeles)
RUS03;180;Russia (Moscow) (UTC+03)
RUS04;240;Russia (UTC+04)
RUS05;300;Russia (UTC+05)
RUS06;360;Russia (UTC+06)
RUS07;420;Russia (UTC+07)
RUS08;480;Russia (UTC+08)
RUS09;540;Russia (UTC+09)
RUS10;600;Russia (UTC+10)
RUS11;660;Russia (UTC+11)
RUS12;720;Russia (UTC+12)
RUS13;780;Russia (UTC+13)
RUS14;840;Russia (UTC+14)
SYRIA;120;Syria
UK;0;England, Ireland, Scotland
UTC;0;UTC+0
UTC+1;60;UTC+01
UTC+10;600;UTC+10
UTC+11;660;UTC+11
UTC+12;720;UTC+12
UTC+13;780;UTC+13
UTC+14;840;UTC+14
UTC+2;120;UTC+02
UTC+3;180;UTC+03
UTC+4;240;UTC+04
UTC+5;300;UTC+05
UTC+53;330;UTC+05:30
UTC+6;360;UTC+06
UTC+63;390;UTC+06:30
UTC+7;420;UTC+07
UTC+8;480;UTC+08
UTC+9;540;UTC+09
UTC-1;-60;UTC-01
UTC-10;-600;UTC-10
UTC-11;-660;UTC-11
UTC-12;-720;UTC-12
UTC-2;-120;UTC-02
UTC-3;-180;UTC-03
UTC-4;-240;UTC-04
UTC-5;-300;UTC-05
UTC-6;-360;UTC-06
UTC-7;-420;UTC-07
UTC-8;-480;UTC-08
UTC-83;-510;UTC-8:30
UTC-9;-540;UTC-09
WAT;60;Western Africa
WDFT;60;Walldorf Time
WET;0;Western Europe