CODE;MAPPINGS
Pacific/Midway;Coordinated Universal Time-11
US/Aleutian;Aleutian Islands
Pacific/Honolulu;Hawaii
Pacific/Marquesas;Marquesas Islands
Pacific/Gambier;Coordinated Universal Time-09
America/Juneau;Alaska
America/Tijuana;Baja California
America/Los_Angeles;Pacific Time (US and Canada)
Pacific/Pitcairn;Coordinated Universal Time-08
America/Denver;Mountain Time (US and Canada)
America/Chihuahua;Chihuahua, La Paz, Mazatlan
America/Phoenix;Arizona
Chile/EasterIsland;Easter Island
America/Chicago;Central America, Central Time (US and Canada)
Canada/Saskatchewan;Saskatchewan
America/Mexico_City;Guadalajara, Mexico City, Monterrey
America/New_York;Chetumal, Haiti, Turks and Caicos, Eastern Time (US and Canada)
America/Havana;Havana
America/Indiana/Indianapolis;Indiana (East)
America/Lima;Bogota, Lima, Quito, Rio Branco
America/Caracas;Caracas
America/Santiago;Atlantic Time (Canada), Santiago
America/Asuncion;Asuncion
America/Cuiaba;Cuiaba
America/La_Paz;Georgetown, La Paz, Manaus, San Juan
America/St_Johns;Newfoundland
America/Araguaina;Araguaina
America/Montevideo;Montevideo
America/Argentina/Buenos_Aires;City of Buenos Aires
America/Fortaleza;Cayenna, Fortaleza
America/Punta_Arenas;Punta Arenas
America/Miquelon;Saint Pierre and Miquelon, Greenland
America/El_Salvador;Salvador, Brasilia
America/Noronha;Coordinated Universal Time-02
Atlantic/Azores;Azores
Atlantic/Cape_Verde;Cabo Verde Islands
Europe/London;Dublin, Edinburgh, Lisbon, London
Africa/Sao_Tome;Sao Tome
Africa/Monrovia;Monrovia, Reykjavik
UTC;Coordinated Universal Time
Africa/Casablanca;Casablanca
Europe/Belgrade;Belgrade, Bratislava, Budapest, Ljubljana, Prague
Europe/Zagreb;Sarajevo, Skopje, Warsaw, Zagreb
Europe/Paris;Brussels, Copenhagen, Madrid, Paris
Europe/Berlin;Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna
Africa/Brazzaville;West Central Africa
Europe/Kaliningrad;Kaliningrad
Africa/Khartoum;Khartoum
Africa/Tripoli;Tripoli
Asia/Beirut;Beirut
Asia/Amman;Amman
Africa/Windhoek;Windhoek
Africa/Cairo;Cairo
Europe/Helsinki;Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius
Europe/Athens;Athens, Bucharest
Asia/Jerusalem;Jerusalem
Africa/Harare;Harare, Pretoria
Europe/Chisinau;Chisinau
Asia/Damascus;Damascus
Asia/Gaza;Gaza, Hebron
Europe/Moscow;Moscow, St. Petersburg
Europe/Minsk;Minsk
Asia/Istanbul;Istanbul
Asia/Kuwait;Kuwait, Riyadh
Africa/Nairobi;Nairobi
Asia/Baghdad;Baghdad
Asia/Tehran;Tehran
Europe/Volgograd;Volgograd
Europe/Astrakhan;Astrakhan, Ulyanovsk
Europe/Samara;Izhevsk, Samara
Europe/Saratov;Saratov
Asia/Yerevan;Yerevan
Indian/Mauritius;Port Louis
Asia/Muscat;Abu Dhabi, Muscat
Asia/Baku;Baku
Asia/Tbilisi;Tbilisi
Asia/Kabul;Kabul
Asia/Karachi;Islamabad, Karachi
Asia/Qyzylorda;Qyzylorda
Asia/Yekaterinburg;Ekaterinburg
Asia/Tashkent;Ashgabat, Tashkent
Asia/Kolkata;Chennai, Kolkata, Mumbai, New Delhi, Sri Jayawardenepura
Asia/Kathmandu;Kathmandu
Asia/Dhaka;Dhaka, Astana
Asia/Omsk;Omsk
Asia/Rangoon;Yangon (Rangoon)
Asia/Barnaul;Barnaul, Gorno-Altaysk
Asia/Hovd;Hovd
Asia/Novosibirsk;Novosibirsk
Asia/Tomsk;Tomsk
Asia/Bangkok;Bangkok, Hanoi, Jakarta
Asia/Krasnoyarsk;Krasnoyarsk
Asia/Beijing;Beijing, Chongqing, Hong Kong, Urumqi
Asia/Singapore;Kuala Lumpur, Singapore
Asia/Taipei;Taipei
Australia/Perth;Perth
Asia/Ulaanbaatar;Ulaanbaatar
Asia/Irkutsk;Irkutsk
Australia/Eucla;Eucla
Asia/Chita;Chita
Asia/Pyongyang;Pyongyang
Asia/Seoul;Seoul
Asia/Tokyo;Osaka, Sapporo, Tokyo
Asia/Yakutsk;Yakutsk
Australia/Darwin;Darwin
Australia/Adelaide;Adelaide
Australia/Sydney;Canberra, Melbourne, Sydney
Australia/Brisbane;Brisbane
Australia/Hobart;Hobart
Asia/Vladivostok;Vladivostok
Pacific/Guam;Guam, Port Moresby
Australia/Lord_Howe;Lord Howe Island
Pacific/Bougainville;Bougainville Island
Pacific/Norfolk;Norfolk Island
Asia/Sakhalin;Sakhalin
Asia/Magadan;Magadan, Solomon Islands, New Caledonia, Chokurdakh
Pacific/Fiji;Fiji
Asia/Kamchatka;Petropavlovsk-Kamchatsky
Asia/Anadyr;Coordinated Universal Time+12, Anadyr
Pacific/Auckland;Auckland, Wellington
Pacific/Chatham;Chatham Island
Pacific/Tongatapu;Coordinated Universal Time+13, Nuku'alofa
Pacific/Samoa;Samoa
Pacific/Kiritimati;Kiritimati Island